"X","Label","Mean","Min","Max","Median","groups","cytosol","nuclei"
"11",11,"C3-MAX_PC3_230925_MycMAX_ON_wash_10_MMStack_Pos0.ome-1-1.tif:0003-0478",317.967,220,1247,308,"cMyc:Max",FALSE,"nucleus"
"12",12,"C3-MAX_PC3_230925_MycMAX_ON_wash_10_MMStack_Pos0.ome-1-1.tif:0004-0760",432.118,250,1648,418,"cMyc:Max",FALSE,"nucleus"
"13",13,"C3-MAX_PC3_230925_MycMAX_ON_wash_10_MMStack_Pos0.ome-1-1.tif:0005-0740",358.088,255,804,357,"cMyc:Max",FALSE,"nucleus"
"14",14,"C3-MAX_PC3_230925_MycMAX_ON_wash_10_MMStack_Pos0.ome-1-1.tif:0006-0846",329.041,221,983,319,"cMyc:Max",FALSE,"nucleus"
"15",15,"C3-MAX_PC3_230925_MycMAX_ON_wash_10_MMStack_Pos0.ome-1-1.tif:0007-0851",315.532,232,524,314,"cMyc:Max",FALSE,"nucleus"
"16",16,"C3-MAX_PC3_230925_MycMAX_ON_wash_10_MMStack_Pos0.ome-1-1.tif:0008-1022",332.078,249,581,329,"cMyc:Max",FALSE,"nucleus"
"17",17,"C3-MAX_PC3_230925_MycMAX_ON_wash_10_MMStack_Pos0.ome-1-1.tif:0009-1211",351.233,224,1086,346,"cMyc:Max",FALSE,"nucleus"
"18",18,"C3-MAX_PC3_230925_MycMAX_ON_wash_10_MMStack_Pos0.ome-1-1.tif:0010-1307",331.643,233,1038,324,"cMyc:Max",FALSE,"nucleus"
"19",19,"C3-MAX_PC3_230925_MycMAX_ON_wash_10_MMStack_Pos0.ome-1-1.tif:b",313.757,228,906,307,"cMyc:Max",FALSE,"nucleus"
"20",20,"C3-MAX_PC3_230925_IGG_On_wash_1_MMStack_Pos0.ome-1-1-1.tif:0001-0048",258.937,204,478,257,"isotype",FALSE,"nucleus"
"21",21,"C3-MAX_PC3_230925_IGG_On_wash_1_MMStack_Pos0.ome-1-1-1.tif:0002-0308",275.938,208,730,270,"isotype",FALSE,"nucleus"
"22",22,"C3-MAX_PC3_230925_IGG_On_wash_1_MMStack_Pos0.ome-1-1-1.tif:0003-0552",267.029,207,996,262,"isotype",FALSE,"nucleus"
"23",23,"C3-MAX_PC3_230925_IGG_On_wash_1_MMStack_Pos0.ome-1-1-1.tif:0004-0629",286.298,211,1287,276,"isotype",FALSE,"nucleus"
"24",24,"C3-MAX_PC3_230925_IGG_On_wash_1_MMStack_Pos0.ome-1-1-1.tif:0005-0738",253.333,197,593,251,"isotype",FALSE,"nucleus"
"25",25,"C3-MAX_PC3_230925_IGG_On_wash_1_MMStack_Pos0.ome-1-1-1.tif:0006-0714",252.963,213,352,252,"isotype",FALSE,"nucleus"
"26",26,"C3-MAX_PC3_230925_IGG_On_wash_1_MMStack_Pos0.ome-1-1-1.tif:0007-0958",285.719,212,644,279,"isotype",FALSE,"nucleus"
"27",27,"C3-MAX_PC3_230925_IGG_On_wash_1_MMStack_Pos0.ome-1-1-1.tif:0008-1026",266.693,198,654,263,"isotype",FALSE,"nucleus"
"28",28,"C3-MAX_PC3_230925_IGG_On_wash_1_MMStack_Pos0.ome-1-1-1.tif:0009-1296",256.807,195,715,254,"isotype",FALSE,"nucleus"
"29",29,"C3-MAX_PC3_230925_IGG_On_wash_1_MMStack_Pos0.ome-1-1-1.tif:0010-1327",252.591,202,507,250,"isotype",FALSE,"nucleus"
"30",1,"A:0003-0435-0456",168.495,0,531,199,"cMyc:isotype",TRUE,"cytosol"
"31",2,"A:0003-0177-0985",160.733,0,480,198,"cMyc:isotype",TRUE,"cytosol"
"32",3,"A:0003-0444-1366",160.783,0,383,198,"cMyc:isotype",TRUE,"cytosol"
"33",4,"A:0003-0852-1427",160.357,0,422,205,"cMyc:isotype",TRUE,"cytosol"
"34",5,"A:0003-1455-0942",172.318,0,360,201,"cMyc:isotype",TRUE,"cytosol"
"35",6,"A:0003-1071-0381",177.828,0,371,200,"cMyc:isotype",TRUE,"cytosol"
"36",7,"A:0003-0739-0646",181.174,0,411,202,"cMyc:isotype",TRUE,"cytosol"
"37",8,"A:a",167.445,0,368,207,"cMyc:isotype",TRUE,"cytosol"
"38",9,"cMycMax:0003-0525-0460",167.621,0,706,218,"cMyc:Max",TRUE,"cytosol"
"39",10,"cMycMax:0003-0237-1005",187.198,0,664,226,"cMyc:Max",TRUE,"cytosol"
"40",11,"cMycMax:0003-0427-1131",176.311,0,863,227,"cMyc:Max",TRUE,"cytosol"
"41",12,"cMycMax:0003-0757-1365",192.152,0,716,228,"cMyc:Max",TRUE,"cytosol"
"42",13,"cMycMax:0003-0747-1041",158.532,0,665,247,"cMyc:Max",TRUE,"cytosol"
"43",14,"cMycMax:0003-0805-0802",171.97,0,940,242,"cMyc:Max",TRUE,"cytosol"
"44",15,"cMycMax:0003-1008-0588",171.795,0,467,245,"cMyc:Max",TRUE,"cytosol"
"45",16,"cMycMax:0003-1282-1510",151.439,0,604,227,"cMyc:Max",TRUE,"cytosol"
"46",17,"cMycMax:0003-1300-0888",197.114,0,879,231,"cMyc:Max",TRUE,"cytosol"
"47",18,"cMycMax:b",190.831,0,522,222,"cMyc:Max",TRUE,"cytosol"
"48",19,"isotype:0003-0841-0262",170.476,0,403,207,"isotype",TRUE,"cytosol"
"49",20,"isotype:0003-0511-0694",176.406,0,684,211,"isotype",TRUE,"cytosol"
"50",21,"isotype:0003-0225-0988",183.841,0,453,213,"isotype",TRUE,"cytosol"
"51",22,"isotype:0003-0103-1492",162.702,0,365,206,"isotype",TRUE,"cytosol"
"52",23,"isotype:0003-0532-1595",210.358,0,373,214,"isotype",TRUE,"cytosol"
"53",24,"isotype:0003-0675-1117",171.045,0,536,217,"isotype",TRUE,"cytosol"
"54",25,"isotype:0003-0939-0679",178.793,0,666,218,"isotype",TRUE,"cytosol"
"55",26,"isotype:0003-1008-1426",167.73,0,432,211,"isotype",TRUE,"cytosol"
"56",27,"isotype:0003-1293-0927",176.555,0,411,211,"isotype",TRUE,"cytosol"
"57",28,"isotype:0003-1243-0300",171.558,0,665,207,"isotype",TRUE,"cytosol"
