"File","Group","Type","Value","click"
"1","MAX_PC3_230919Cells_Cmyc_after_ON_wash_1_MMStack_Pos0.ome.csv","cMyc","nuclei",183.403815446676,TRUE
"2","MAX_PC3_230919Cells_Cmyc_after_ON_wash_1_MMStack_Pos0.ome.csv","cMyc","nuclei",272.852769718825,TRUE
"3","MAX_PC3_230919Cells_Cmyc_after_ON_wash_1_MMStack_Pos0.ome.csv","cMyc","nuclei",154.214472737736,TRUE
"4","MAX_PC3_230919Cells_Cmyc_after_ON_wash_1_MMStack_Pos0.ome.csv","cMyc","nuclei",18.6577962702428,TRUE
"5","MAX_PC3_230919Cells_Cmyc_after_ON_wash_1_MMStack_Pos0.ome.csv","cMyc","nuclei",129.344049194364,TRUE
"6","MAX_PC3_230919Cells_Cmyc_after_ON_wash_1_MMStack_Pos0.ome.csv","cMyc","nuclei",67.5653914298838,TRUE
"7","MAX_PC3_230919Cells_Cmyc_after_ON_wash_1_MMStack_Pos0.ome.csv","cMyc","nuclei",29.5356857686874,TRUE
"8","MAX_PC3_230919Cells_Cmyc_after_ON_wash_1_MMStack_Pos0.ome.csv","cMyc","nuclei",235.610176632636,TRUE
"9","MAX_PC3_230919Cells_Cmyc_after_ON_wash_1_MMStack_Pos0.ome.csv","cMyc","nuclei",90.0375404143216,TRUE
"10","MAX_PC3_230919Cells_Cmyc_after_ON_wash_1_MMStack_Pos0.ome.csv","cMyc","nuclei",69.9649225715627,TRUE
"11","MAX_PC3_230919Cells_Cmyc_after_ON_wash_1_MMStack_Pos0.ome.csv","cMyc","nuclei",126.513343121168,TRUE
"12","MAX_PC3_230919Cells_Cmyc_after_ON_wash_1_MMStack_Pos0.ome.csv","cMyc","nuclei",11.0271044776119,TRUE
"13","MAX_PC3_230919Cells_Cmyc_after_ON_wash_1_MMStack_Pos0.ome.csv","cMyc","nuclei",82.026966138722,TRUE
"14","MAX_PC3_230919Cells_Cmyc_after_ON_wash_1_MMStack_Pos0.ome.csv","cMyc","nuclei",46.9653217739246,TRUE
"15","MAX_PC3_230919Cells_Cmyc_after_ON_wash_1_MMStack_Pos0.ome.csv","cMyc","nuclei",72.8878126763212,TRUE
"16","MAX_PC3_230919Cells_Cmyc_after_ON_wash_1_MMStack_Pos0.ome.csv","cMyc","nuclei",80.3674701529802,TRUE
"17","MAX_PC3_230919Cells_Cmyc_after_ON_wash_1_MMStack_Pos0.ome.csv","cMyc","nuclei",198.746824974895,TRUE
"18","MAX_PC3_230919Cells_Cmyc_after_ON_wash_1_MMStack_Pos0.ome.csv","cMyc","nuclei",126.368824792881,TRUE
"19","MAX_PC3_230919Cells_Cmyc_after_ON_wash_1_MMStack_Pos0.ome.csv","cMyc","nuclei",15.3111520737327,TRUE
"20","MAX_PC3_230919Cells_Cmyc_after_ON_wash_1_MMStack_Pos0.ome.csv","cMyc","nuclei",2.21244586277638,TRUE
"21","MAX_PC3_230919Cells_Cmyc_after_ON_wash_1_MMStack_Pos0.ome.csv","cMyc","nuclei",15.5737308622079,TRUE
"22","MAX_PC3_230919Cells_Cmyc_after_ON_wash_2_MMStack_Pos0.ome.csv","cMyc","nuclei",131.337624459419,TRUE
"23","MAX_PC3_230919Cells_Cmyc_after_ON_wash_2_MMStack_Pos0.ome.csv","cMyc","nuclei",84.0193869531045,TRUE
"24","MAX_PC3_230919Cells_Cmyc_after_ON_wash_2_MMStack_Pos0.ome.csv","cMyc","nuclei",3.66308064135817,TRUE
"25","MAX_PC3_230919Cells_Cmyc_after_ON_wash_2_MMStack_Pos0.ome.csv","cMyc","nuclei",6.1221820205956,TRUE
"26","MAX_PC3_230919Cells_Cmyc_after_ON_wash_2_MMStack_Pos0.ome.csv","cMyc","nuclei",103.481894643648,TRUE
"27","MAX_PC3_230919Cells_Cmyc_after_ON_wash_2_MMStack_Pos0.ome.csv","cMyc","nuclei",23.6141539553033,TRUE
"28","MAX_PC3_230919Cells_Cmyc_after_ON_wash_2_MMStack_Pos0.ome.csv","cMyc","nuclei",65.6601646649158,TRUE
"29","MAX_PC3_230919Cells_Cmyc_after_ON_wash_2_MMStack_Pos0.ome.csv","cMyc","nuclei",13.2240844549412,TRUE
"30","MAX_PC3_230919Cells_Cmyc_after_ON_wash_2_MMStack_Pos0.ome.csv","cMyc","nuclei",55.3599581444018,TRUE
"31","MAX_PC3_230919Cells_Cmyc_after_ON_wash_2_MMStack_Pos0.ome.csv","cMyc","nuclei",57.175566374056,TRUE
"32","MAX_PC3_230919Cells_Cmyc_after_ON_wash_2_MMStack_Pos0.ome.csv","cMyc","nuclei",35.2279586973789,TRUE
"33","MAX_PC3_230919Cells_Cmyc_after_ON_wash_2_MMStack_Pos0.ome.csv","cMyc","nuclei",19.2419909502262,TRUE
"34","MAX_PC3_230919Cells_Cmyc_after_ON_wash_2_MMStack_Pos0.ome.csv","cMyc","nuclei",96.7129940790526,TRUE
"35","MAX_PC3_230919Cells_Cmyc_after_ON_wash_2_MMStack_Pos0.ome.csv","cMyc","nuclei",61.8620934238525,TRUE
"36","MAX_PC3_230919Cells_Cmyc_after_ON_wash_2_MMStack_Pos0.ome.csv","cMyc","nuclei",4.02543856637715,TRUE
"37","MAX_PC3_230919Cells_Cmyc_after_ON_wash_2_MMStack_Pos0.ome.csv","cMyc","nuclei",0,TRUE
"38","MAX_PC3_230919Cells_Cmyc_after_ON_wash_2_MMStack_Pos0.ome.csv","cMyc","nuclei",2.65612022938501,TRUE
"39","MAX_PC3_230919Cells_Cmyc_after_ON_wash_2_MMStack_Pos0.ome.csv","cMyc","nuclei",11.1021686746988,TRUE
"40","MAX_PC3_230919Cells_Cmyc_after_ON_wash_3_MMStack_Pos0.ome.csv","cMyc","nuclei",81.5293630198225,TRUE
"41","MAX_PC3_230919Cells_Cmyc_after_ON_wash_3_MMStack_Pos0.ome.csv","cMyc","nuclei",0,TRUE
"42","MAX_PC3_230919Cells_Cmyc_after_ON_wash_3_MMStack_Pos0.ome.csv","cMyc","nuclei",7.78226641242168,TRUE
"43","MAX_PC3_230919Cells_Cmyc_after_ON_wash_3_MMStack_Pos0.ome.csv","cMyc","nuclei",25.0937650341576,TRUE
"44","MAX_PC3_230919Cells_Cmyc_after_ON_wash_3_MMStack_Pos0.ome.csv","cMyc","nuclei",14.197989252012,TRUE
"45","MAX_PC3_230919Cells_Cmyc_after_ON_wash_3_MMStack_Pos0.ome.csv","cMyc","nuclei",23.0100751192772,TRUE
